2022-03-19 23:47:23,846 INFO    Thread-12 :41116 [dir_watcher.py:_on_file_modified():230] file/dir modified: E:\project\nlp_cnn-main\wandb\run-20220319_234647-cut35xg8\files\output.log
2022-03-19 23:47:23,942 DEBUG   HandlerThread:41116 [handler.py:handle_request():141] handle_request: log_artifact
2022-03-19 23:47:23,942 DEBUG   SenderThread:41116 [sender.py:send_request():249] send_request: log_artifact
2022-03-19 23:47:24,854 INFO    Thread-12 :41116 [dir_watcher.py:_on_file_created():217] file/dir created: E:\project\nlp_cnn-main\wandb\run-20220319_234647-cut35xg8\files\media\table\conf_mat_table_0_2fc8ea06fdc28cbaa4b3.table.json
2022-03-19 23:47:24,854 INFO    Thread-12 :41116 [dir_watcher.py:_on_file_created():217] file/dir created: E:\project\nlp_cnn-main\wandb\run-20220319_234647-cut35xg8\files\media
2022-03-19 23:47:24,854 INFO    Thread-12 :41116 [dir_watcher.py:_on_file_created():217] file/dir created: E:\project\nlp_cnn-main\wandb\run-20220319_234647-cut35xg8\files\media\table
2022-03-19 23:47:24,950 DEBUG   HandlerThread:41116 [handler.py:handle_request():141] handle_request: partial_history
2022-03-19 23:47:25,266 DEBUG   HandlerThread:41116 [handler.py:handle_request():141] handle_request: log_artifact
2022-03-19 23:47:25,866 INFO    Thread-12 :41116 [dir_watcher.py:_on_file_modified():230] file/dir modified: E:\project\nlp_cnn-main\wandb\run-20220319_234647-cut35xg8\files\output.log
2022-03-19 23:47:25,866 INFO    Thread-12 :41116 [dir_watcher.py:_on_file_created():217] file/dir created: E:\project\nlp_cnn-main\wandb\run-20220319_234647-cut35xg8\files\media\table\precision_chart_table_1_7d9228fea4e2abd6cdc7.table.json
2022-03-19 23:47:25,866 INFO    Thread-12 :41116 [dir_watcher.py:_on_file_modified():230] file/dir modified: E:\project\nlp_cnn-main\wandb\run-20220319_234647-cut35xg8\files\media\table
2022-03-19 23:47:25,964 DEBUG   HandlerThread:41116 [handler.py:handle_request():141] handle_request: partial_history
2022-03-19 23:47:26,175 INFO    Thread-18 :41116 [upload_job.py:push():95] Uploaded file C:\Users\chris\.cache\wandb\artifacts\obj\md5\7e\25d60caf99e9d8c14e3b926f68335d
2022-03-19 23:47:26,257 DEBUG   HandlerThread:41116 [handler.py:handle_request():141] handle_request: log_artifact
2022-03-19 23:47:26,872 INFO    Thread-12 :41116 [dir_watcher.py:_on_file_created():217] file/dir created: E:\project\nlp_cnn-main\wandb\run-20220319_234647-cut35xg8\files\media\table\recall_chart_table_2_ea1fd785b5b88d2c5de1.table.json
2022-03-19 23:47:26,872 INFO    Thread-12 :41116 [dir_watcher.py:_on_file_modified():230] file/dir modified: E:\project\nlp_cnn-main\wandb\run-20220319_234647-cut35xg8\files\media\table
2022-03-19 23:47:26,985 DEBUG   HandlerThread:41116 [handler.py:handle_request():141] handle_request: partial_history
2022-03-19 23:47:27,435 DEBUG   HandlerThread:41116 [handler.py:handle_request():141] handle_request: log_artifact
2022-03-19 23:47:27,516 INFO    SenderThread:41116 [sender.py:send_request_log_artifact():976] logged artifact run-cut35xg8-conf_mat_table - {'id': 'QXJ0aWZhY3Q6MTAxNTczNjkz', 'digest': 'a09cd9a1c7252fa8eeb142c7d598ee45', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjE2NjUwNDM4', 'latestArtifact': None}, 'version': 'latest'}
2022-03-19 23:47:27,516 DEBUG   SenderThread:41116 [sender.py:send():235] send: files
2022-03-19 23:47:27,516 INFO    SenderThread:41116 [sender.py:_save_file():947] saving file media\table\conf_mat_table_0_2fc8ea06fdc28cbaa4b3.table.json with policy now
2022-03-19 23:47:27,516 DEBUG   SenderThread:41116 [sender.py:send():235] send: history
2022-03-19 23:47:27,516 DEBUG   SenderThread:41116 [sender.py:send():235] send: summary
2022-03-19 23:47:27,532 INFO    SenderThread:41116 [sender.py:_save_file():947] saving file wandb-summary.json with policy end
2022-03-19 23:47:27,532 DEBUG   SenderThread:41116 [sender.py:send():235] send: config
2022-03-19 23:47:27,532 DEBUG   SenderThread:41116 [sender.py:send_request():249] send_request: log_artifact
2022-03-19 23:47:27,877 INFO    Thread-12 :41116 [dir_watcher.py:_on_file_modified():230] file/dir modified: E:\project\nlp_cnn-main\wandb\run-20220319_234647-cut35xg8\files\wandb-summary.json
2022-03-19 23:47:27,877 INFO    Thread-12 :41116 [dir_watcher.py:_on_file_created():217] file/dir created: E:\project\nlp_cnn-main\wandb\run-20220319_234647-cut35xg8\files\media\table\f1-score_chart_table_3_a73a3236a207ed430c29.table.json
